date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:07	27636/27636	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2006:43:49%20GMT	https://slowly.app/en/	D:/NEW/yo/DHAWNTARI1/slowly.app/en/index.html	(from )
17:41:07	69/69	---MCZ	200	added ('OK')	text/plain	etag:W/%226010c9ef-43%22	https://slowly.app/robots.txt		(from )
17:41:08	3076/3076	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c04-5f1f2ae2e431b%22	https://static.addtoany.com/menu/page.js	D:/NEW/yo/DHAWNTARI1/static.addtoany.com/menu/page.js	(from https://slowly.app/en/)
17:41:08	319254/319254	---M--	200	added ('OK')	image/jpeg	etag:%225fb9cbf5-4df16%22	https://slowly.app/wp-content/uploads/2020/11/slowly-story-share-v2.jpg	D:/NEW/yo/DHAWNTARI1/slowly.app/wp-content/uploads/2020/11/slowly-story-share-v2.jpg	(from https://slowly.app/en/)
17:41:08	44296/44296	---MC-	200	added ('OK')	application/rss+xml	etag:%22dfc662c82c964b1b0ff8d8eb488d65a9%22	https://slowly.app/en/feed/	D:/NEW/yo/DHAWNTARI1/slowly.app/en/feed/index.html	(from https://slowly.app/en/)
17:41:09	118/118	---MC-	401	error ('Unauthorized')	application/json	date:Tue,%2031%20Jan%202023%2012:11:07%20GMT	https://slowly.app/en/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fslowly.app%2Fen%2F	D:/NEW/yo/DHAWNTARI1/slowly.app/en/wp-json/oembed/1.0/embed.2eae6.delayed	(from https://slowly.app/en/)
17:41:09	177/177	---MC-	401	error ('Unauthorized')	text/xml	date:Tue,%2031%20Jan%202023%2012:11:08%20GMT	https://slowly.app/en/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fslowly.app%2Fen%2F&format=xml	D:/NEW/yo/DHAWNTARI1/slowly.app/en/wp-json/oembed/1.0/embed1b92	(from https://slowly.app/en/)
17:41:10	145206/145206	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ce2931-4185d%22	https://slowly.app/wp-content/themes/slowly/assets/js/jquery-1.9.1.js	D:/NEW/yo/DHAWNTARI1/slowly.app/wp-content/themes/slowly/assets/js/jquery-1.9.1.js	(from https://slowly.app/en/)
17:41:10	12147/12147	---M--	200	added ('OK')	image/jpeg	etag:%225cc419d5-2f73%22	https://slowly.app/wp-content/themes/slowly/assets/img/slowly-logo-1.jpg	D:/NEW/yo/DHAWNTARI1/slowly.app/wp-content/themes/slowly/assets/img/slowly-logo-1.jpg	(from https://slowly.app/en/)
17:41:10	16996/16996	---M--	200	added ('OK')	image/png	etag:%225c24a8eb-4264%22	https://slowly.app/wp-content/themes/slowly/assets/img/ios-app-store.png	D:/NEW/yo/DHAWNTARI1/slowly.app/wp-content/themes/slowly/assets/img/ios-app-store.png	(from https://slowly.app/en/)
